,,,,,,,,,,,,,,,,,LATITUD,LONGITUD,DISTRITO,TIPO,
10732270,Converso,127,1,0,,2018-08-03 00:00:00.0,2018-08-03 23:59:00.0,22:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4522eca2d0304610VgnVCM1000001d4a900aRCRD,Converso,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a391eca2d0304610VgnVCM1000001d4a900aRCRD,,,,,40.3985998091149,-3.63689593563372,MORATALAZ,/contenido/actividades/Musica,
10730204,Con-ciertos amigos.,128,1,0,,2018-06-20 00:00:00.0,2018-06-20 23:59:00.0,19:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b369ddf3e78f3610VgnVCM1000001d4a900aRCRD,Con-ciertos amigos.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=81f8ddf3e78f3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a6c875993dc63110VgnVCM1000000b205a0aRCRD,Centro Cultural Las Californias (Retiro),442812,4472042,40.4190602437436,-3.6840615387927,RETIRO,/contenido/actividades/Musica,
10720848,Coral de Lavapi�s,129,1,0,,2018-06-23 00:00:00.0,2018-06-23 23:59:00.0,19:00,"Grupo independiente dedicado a la interpretaci�n de m�sica popular, fundamentalmente  de autor y latinoamericana, que est�  integrado por personas de distintas partes del mundo representantes de la diversidad cultural del Madrid actual y del barrio de Lavapi�s en particular.  Acompa�ados en muchas de las canciones de guitarra y diferentes  instrumentos de percusi�n, ofrecen  temas de destacados autores como Joan Manuel Serrat,Manu Chao,Pablo Milan�s,Caetano Veloso,o Silvio Rodr�guez,Queen,Violeta Parra,The Police.  Se encuentran tambi�n en su repertorio obras de la m�sica popular latinoamericana de gran variedad r�tmica como tangos, joropos, milongas o candombes, o incursiones en el flamenco como las lorquianas 'Verde que te quiero verde' o el 'Zorongo', y el cl�sico de Camar�n 'La Leyenda del Tiempo'.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=afd2ff327c0b3610VgnVCM1000001d4a900aRCRD,Actividades del Centro Sociocultural Lavapi�s,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4c203a7330523610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5f891e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Lavapi�s (Centro),440474,4473465,40.3998289141041,-3.62128189057038,VICALVARO,/contenido/actividades/Musica/CoroGospel,
10716207,Coral Polif�nica Centro Cultural 'El Madro�o',130,1,0,,2018-06-29 00:00:00.0,2018-06-29 23:59:00.0,19:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7ab9b60ad693610VgnVCM2000001f4a900aRCRD,Coral Polif�nica Centro Cultural 'El Madro�o',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=098a9b60ad693610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=57b63d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural el Madro�o (Vic�lvaro),448357,4472920,,,,/contenido/actividades/Musica,
10719339,Coral polif�nica La Monta�a - Coral Polif�nica Nuestra Se�ora de Moratalaz,131,1,0,,2018-06-17 00:00:00.0,2018-06-17 23:59:00.0,20:00,Ciclo Fiestas de Moratalaz.  Coral polif�nica La Monta�a - Coral polif�nica Nuestra Se�ora de Moratalaz.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff40928038ba3610VgnVCM1000001d4a900aRCRD,XIV  Temporada de m�sica coral en Moratalaz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7401de8655ba3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f08a6fdb2541f010VgnVCM1000000b205a0aRCRD,Junta Municipal del Distrito de Moratalaz,445952,4472195,40.4690329914409,-3.6976620067965,TETUAN,/contenido/actividades/TeatroPerformance,
10730366,Coro del Colegio Montserrat,132,1,0,,2018-06-18 00:00:00.0,2018-06-18 23:59:00.0,18:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8fdcf1c6498f3610VgnVCM2000001f4a900aRCRD,Coro del Colegio Montserrat,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=917cf1c6498f3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Casa de Vacas (Retiro).,441967,4474495,,,,/contenido/actividades/ActividadesCalleArteUrbano,
10716270,Coro San Juan Evangelista,133,1,0,,2018-06-20 00:00:00.0,2018-06-20 23:59:00.0,19:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7a1e9b60ad693610VgnVCM2000001f4a900aRCRD,Coro San Juan Evangelista,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=327c9b60ad693610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=69188899fc81c010VgnVCM1000000b205a0aRCRD,Centro Cultural Valdebernardo (Vic�lvaro),447278,4472321,40.4190117674011,-3.69220611167966,RETIRO,/contenido/actividades/Exposiciones,
10717872,Corporaci�n Musical La Pobla de Valbona,134,1,0,,2018-07-22 00:00:00.0,2018-07-22 23:59:00.0,12:00,"Programa pendiente de confirmaci�n.   Lugar: Templete del Parque de El Retiro, a las 12 horas.  M�s informaci�n:  www.madrid.es/bandasinfonica",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4f5c4badd26a3610VgnVCM2000001f4a900aRCRD,Conciertos 2018. Bandas al fresco,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aa19c6b0b9e33610VgnVCM2000001f4a900aRCRD,,,,,40.3924137495332,-3.69724768588423,ARGANZUELA,/contenido/actividades/VeranosVilla,
10722998,Cosas de ni�os,135,1,0,,2018-06-22 00:00:00.0,2018-06-22 23:59:00.0,17:30,Teatro   Festival fin de curso teatro grupo infantilCC Eduardo �rculo.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=26fdf273f2bb3610VgnVCM2000001f4a900aRCRD,Actividades en el Centro Cultural Eduardo �rculo. Junio 2018,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=69638c3de0603610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f8f9338588355210VgnVCM1000000b205a0aRCRD,Centro Cultural Eduardo �rculo (Tetu�n),440857,4480052,40.4275191374638,-3.64820302789499,CIUDAD LINEAL,/contenido/actividades/VeranosVilla,
10723550,Coser y cantar,136,1,0,,2018-06-30 00:00:00.0,2018-06-30 23:59:00.0,19:00,Ainhoa Lim�n.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e25a43010d9c3610VgnVCM2000001f4a900aRCRD,Bulevarte,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=de6b762c81603610VgnVCM1000001d4a900aRCRD,,,,,40.3563965425189,-3.69405018466109,VILLAVERDE,/contenido/actividades/CuentacuentosTiteresMarionetas,
10651936,Crecemos por momentos,137,1,1,"M,X,J,V,S,D",2018-03-22 00:00:00.0,2018-06-17 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4883f4bec5002610VgnVCM2000001f4a900aRCRD,Crecemos por momentos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f823f4bec5002610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5ff519cd7bcee210VgnVCM1000000b205a0aRCRD,CentroCentro,441277,4474496,40.4220660199443,-3.66296807586524,SALAMANCA,/contenido/actividades/TeatroPerformance,
10730790,Crowd,138,0,1,"L,M,X,J,V,S,D",2018-07-06 00:00:00.0,2018-07-07 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cd188ed8249f3610VgnVCM1000001d4a900aRCRD,Crowd,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dea79bf74e8f3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4582ee06ea5ee310VgnVCM2000000c205a0aRCRD,Naves Matadero. Centro Internacional Artes Vivas,440825,4471546,40.4052836507443,-3.60862782329228,VICALVARO,/contenido/actividades/CuentacuentosTiteresMarionetas,
10731141,Cuarteto Casals,139,1,0,,2018-08-31 00:00:00.0,2018-08-31 23:59:00.0,21:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9e47ebd8dfcf3610VgnVCM2000001f4a900aRCRD,Cuarteto Casals,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3c94ebd8dfcf3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=76b7b47a0559f010VgnVCM2000000c205a0aRCRD,Cementerio de La Almudena,445016,4475412,,,,/contenido/actividades/CuentacuentosTiteresMarionetas,
10712932,Cuentos a la luz de la luna,140,1,0,,2018-06-29 00:00:00.0,2018-06-29 23:59:00.0,18:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=628100680f683610VgnVCM2000001f4a900aRCRD,Cuentos a la luz de la luna,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7ccf00680f683610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=42753d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Bohemios (Villaverde),441066,4467547,40.4447747490219,-3.61291058446338,SAN BLAS-CANILLEJAS,/contenido/actividades/LGTBI,/usuario/Ni�os
10717039,Cuentos de mar y casta�a,141,1,0,,2018-06-24 00:00:00.0,2018-06-24 23:59:00.0,12:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=116e82ad5a5a3610VgnVCM1000001d4a900aRCRD,Cuentos de mar y casta�a,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e52e82ad5a5a3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bcc7cbf06c81c010VgnVCM1000000b205a0aRCRD,"Centro Cultural Rafael Altamira, antes Palacete Quinta del Berro (Salamanca)",443760,4474815,40.3970207923223,-3.67388135183723,RETIRO,,/usuario/Ni�os
10661647,Cuentos de quita y p�n con Juan Malabar,142,1,0,,2018-06-19 00:00:00.0,2018-06-19 23:59:00.0,18:00,"Cuentos de Quita y Pon es un espect�culos de narraci�n con objetos para p�blico familiar que no dejar� indiferente, donde la palabra y la artesan�a se combinan en su justa medida.  Cuentos con objetos, t�teres y cachivaches. Que juegan encima de la mesa y cobran vida para acompa�ar a la narraci�n, metiendo de lleno a peque�os y mayores en ese mundo de incertidumbre y sorpresa que son los cuentos. Cuentos tradicionales y contempor�neos contados con mucho mimo, de manera muy cercana y accesible, con una mesa y una silla, con complicidad, emoci�n, humor y mucho gesto. Cuentos cortos en peque�o formato, aderezados con rimas y chascarrillos para que suenen bonito.  Para ni�as y ni�os de 4 a 10 a�os.   Necesaria invitaci�n previa, consultar en la biblioteca.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=675decb04de32610VgnVCM2000001f4a900aRCRD,Cuentos infantiles en la Biblioteca P�blica Municipal de Vic�lvaro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e4d6f2e1792f1510VgnVCM2000000c205a0aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=67e03d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca P�blica Municipal Vic�lvaro,448357,4472920,40.3433338249417,-3.69094919436844,VILLAVERDE,/contenido/actividades/ActividadesCalleArteUrbano,/usuario/Ni�os
10727044,Cuentos del caballito de madera.,143,1,0,,2018-06-30 00:00:00.0,2018-06-30 23:59:00.0,12:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=615f2a451f9d3610VgnVCM1000001d4a900aRCRD,Cuentos del caballito de madera.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e34d2a451f9d3610VgnVCM1000001d4a900aRCRD,,,,,,,,/contenido/actividades/DanzaBaile,/usuario/Ni�os
10728336,Culturas e identidades,144,1,1,J,2018-06-21 00:00:00.0,2018-06-28 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c83de1552ade3610VgnVCM1000001d4a900aRCRD,Culturas e identidades,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6a5ce1552ade3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Buero Vallejo (San Blas - Canillejas),448023,4477305,40.4015939433467,-3.74911084140656,LATINA,/contenido/actividades/Musica/Zarzuela,
10720524,Cursos y Talleres Culturales 2018-2019.,145,0,1,"L,M,X,J,V,S,D",2018-06-04 00:00:00.0,2018-06-18 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=44cc0ddaa80b3610VgnVCM1000001d4a900aRCRD,Inscripci�n a Cursos y Talleres Culturales 2018-2019 del Centro Cultural Las Californias.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7607d21e730b3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a6c875993dc63110VgnVCM1000000b205a0aRCRD,Centro Cultural Las Californias (Retiro),442812,4472042,40.3788537971283,-3.78196161130321,LATINA,/contenido/actividades/Musica,
10715894,C'est la vie. (2017. Francia),146,1,0,,2018-07-12 00:00:00.0,2018-07-12 23:59:00.0,22:15,"C'est la vie , de Eric Toledano y Olivier Nakache. Con Jean Pierre Bacri, Jean Paul Rouve, Gilles Lelouche. Francia 2017. 115�.     Apta para todos los p�blicos. Comedia.     Festival de San Sebasti�n: Candidata a la Concha de Oro.  Pemios C�sar: 10 candidaturas.     Una boda de lujo en un castillo franc�s del siglo XVIII se les va de las manos a sus responsables. La pel�cula narra los entresijos de la boda desde la perspectiva del personal de c�terin, el fot�grafo y el discjokey.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a770244155693610VgnVCM2000001f4a900aRCRD,Cine de verano. Villaverde 2018,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=099b23eb8e193610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f56402882e68e410VgnVCM2000000c205a0aRCRD,Plaza de Los Pinazo,441426,4466302,40.3795657076859,-3.69142524046829,USERA,/contenido/actividades/CineActividadesAudiovisuales,
10709961,Danzadas,147,1,0,,2018-06-24 00:00:00.0,2018-06-24 23:59:00.0,19:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d5859bd490e63610VgnVCM1000001d4a900aRCRD,Danzadas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=37859bd490e63610VgnVCM1000001d4a900aRCRD,,,,,40.4690329914409,-3.6976620067965,TETUAN,/contenido/actividades/ConferenciasColoquios,
10721699,"De la opera al pasodoble, pasando por el bolero",148,1,0,,2018-06-22 00:00:00.0,2018-06-22 23:59:00.0,19:00,"Arco Iris de Cantores, presenta, su espect�culo De la opera al pasodoble, pasando por el bolero.    Tambi�n interpretar�n fragmentos de zarzuelas y canciones populares, siempre con su elegancia y sensibilidad de este grupo musical.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eebcb6b5fa5b3610VgnVCM2000001f4a900aRCRD,Programa de actividades en el Centro Cultural Jos� Luis Sampedro (Latina),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=044239c8e2993510VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD,Centro Cultural Jos� Luis Sampedro (Latina),436432,4472601,40.4606228353796,-3.59368776573359,BARAJAS,/contenido/actividades/Musica/JazzSoulFunkySwingReagge,
10721784,De Lennon a Maccartney,149,1,0,,2018-06-29 00:00:00.0,2018-06-29 23:59:00.0,19:00,"M�sica.     Un tributo pian�stico a la obra de The Beatles de la mano de Jorge Gil Zulueta.   Este concierto es un paseo musical por la obra musical de John Lennon, George Harrison y el t�ndem Lennon ? McCartney. Un  todo Beatles  que de seguro cautivar� al p�blico.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5b07b6b5fa5b3610VgnVCM2000001f4a900aRCRD,Programa de actividades en el Centro Cultural Miguel Hern�ndez (Latina),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9018d9fbe3c7f510VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=420a1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Miguel Hern�ndez (Latina),433622,4470101,,,,/contenido/actividades/ActividadesCalleArteUrbano,
10718143,D�jame salir,150,1,0,,2018-08-11 00:00:00.0,2018-08-11 23:59:00.0,22:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=590d7169e66a3610VgnVCM1000001d4a900aRCRD,D�jame salir,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=292c7169e66a3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6fb3296aa2c9a310VgnVCM2000000c205a0aRCRD,Auditorio al aire libre. Parque Lineal del Manzanares,441308,4470116,40.424250965516,-3.71653185554027,MONCLOA-ARAVACA,/contenido/actividades/Musica,
10723605,Dejar ser. El respeto como clave de las relaciones,151,1,0,,2018-06-25 00:00:00.0,2018-06-25 23:59:00.0,20:00,Ciclo de talleres : ?Con�cete a ti mismo?.   Conferencia   Impartida por M� Luisa Villanueva.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=91b615414b9c3610VgnVCM1000001d4a900aRCRD,Actividades en el Centro Cultural Eduardo �rculo. Junio 2018,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=69638c3de0603610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f8f9338588355210VgnVCM1000000b205a0aRCRD,Centro Cultural Eduardo �rculo (Tetu�n),440857,4480052,40.3909440818148,-3.6853911554399,ARGANZUELA,/contenido/actividades/ActividadesCalleArteUrbano,
10718761,Del Sena al Missisipi. Enclave Jazz Cuartet,152,0,0,,2018-06-22 00:00:00.0,2018-06-22 23:59:00.0,21:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff764e18217a3610VgnVCM2000001f4a900aRCRD,Barajas es m�sica,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e6c34e18217a3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD,Centro Cultural Gloria Fuertes (Barajas),449666,4479054,,,,,
10731344,D�a de la Infancia. Tetu�n 2018,153,0,0,,2018-06-17 00:00:00.0,2018-06-17 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9eca3eb01edf3610VgnVCM2000001f4a900aRCRD,D�a de la Infancia. Tetu�n 2018,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cb1fe418a6df3610VgnVCM2000001f4a900aRCRD,,,,,,,,,/usuario/Ni�os
10725367,D�a de la m�sica: Bob Sands Big Band.,154,1,0,,2018-06-21 00:00:00.0,2018-06-21 23:59:00.0,21:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e531be79d30d3610VgnVCM2000001f4a900aRCRD,D�a de la m�sica: Bob Sands Big Band.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8d5ebe79d30d3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13b432df1d51c010VgnVCM2000000c205a0aRCRD,Templo de Debod,439218,4475093,,,,/contenido/actividades/CursosTalleres,
10730625,D�a del asteroide,155,1,0,,2018-06-30 00:00:00.0,2018-06-30 23:59:00.0,21:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1de19bf74e8f3610VgnVCM1000001d4a900aRCRD,D�a del asteroide,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ebcf9bf74e8f3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=26937b503a71c010VgnVCM1000000b205a0aRCRD,Auditorio al aire libre. Parque Enrique Tierno Galv�n,441830,4471375,,,,/contenido/actividades/ActividadesCalleArteUrbano,
10730473,Dibuja el verano. Observaci�n y dibujo,156,0,1,"M,J,V,S,D",2018-07-03 00:00:00.0,2018-08-31 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1a44f1c6498f3610VgnVCM2000001f4a900aRCRD,Dibuja el verano. Observaci�n y dibujo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8a11f1c6498f3610VgnVCM2000001f4a900aRCRD,,,,,40.418783625616,-3.68665194710036,RETIRO,/contenido/actividades/CuentacuentosTiteresMarionetas,
10724095,Dinamizaci�n Calle Fuencarral,157,0,0,,2018-06-17 00:00:00.0,2018-06-17 23:59:00.0,11:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=779d94b22dac3610VgnVCM1000001d4a900aRCRD,Dinamizaci�n Calle Fuencarral,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9903a8407aac3610VgnVCM2000001f4a900aRCRD,,,,,,,,/contenido/actividades/ActividadesCalleArteUrbano,"/usuario/Ni�os,/usuario/Familias"
